	0
64	You have to hold the phone at a particular angle for the other party to hear you clearly.
65	The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.
66	A week later after I activated it, it suddenly died.
67	It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.
68	Great for iPODs too.
69	This device is great in several situations:1.)
70	Mic Doesn't work.
71	Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.
72	Great choice!
73	Nice docking station for home or work.
74	This is a beautiful phone.
75	Love this product.
76	Do Not Buy for D807...wrongly advertised for D807.
77	This is a great little item.
78	I love this phone , It is very handy and has a lot of features .
79	I purchased this and within 2 days it was no longer working!!!!!!!!!
80	I wear it everyday and it holds up very well.
81	Not a good bargain.
82	Well packaged, arrived on time, and works as intended.
83	The battery runs down quickly.
84	This item worked great, but it broke after 6 months of use.
85	The headsets are easy to use and everyone loves them.
86	This phone works great.
87	The construction of the headsets is poor.
88	Product was excellent and works better than the verizon one and Boy was it cheaper!
89	The phone loads super!
90	For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.
91	Made very sturdy.
92	Worked great!.
93	The ear buds only play music in one ear.
94	Dont waste your money...
95	Will order from them again!
96	If you plan to use this in a car forget about it.
97	I found this product to be waaay too big.
98	Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.
99	I'm very disappointed with my decision.
100	Integrated seamlessly with the Motorola RAZR phone.
101	Buyer Beware, you could flush money right down the toilet.
102	Definitely a bargain.
103	The price was very good and with the free shipping and all it was a good purchase.
104	I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.
105	Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.
106	That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).
107	I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.
108	The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.
109	I purcashed this for the car charger and it does not work.
110	Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.
111	This phone is slim and light and the display is beautiful.
112	its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.
113	Great product, fast shipping!.
114	Absolutely great.
115	The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.
116	i got this phone around the end of may and i'm completely unhappy with it.
117	It is very comfortable on the ear.
118	It has been a winner for us.
119	)Setup couldn't have been simpler.
120	I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.
121	Could not get strong enough signal.
122	Iam very pleased with my purchase.
123	Bad Quality.
124	Gets the job done.
125	Great audio!.
126	Basically the service was very bad.
127	it did not work in my cell phone plug i am very up set with the charger!.
128	I've only had my bluetooth for a few weeks, but I really like it.
129	The BT headset was such a disapoinment.
130	It is so small and you don't even realize that it is there after a while of getting used to it.
131	The accompanied software is almost brilliant.
132	Headset works great & was packaged nicely to avoid any damage.
133	!I definitly recommend!!
134	Buyer--Be Very Careful!!!!!.
135	The majority of the Logitech earbud headsets failed.
136	Very good stuff for the price.
137	My headset works just peachy-keen.
138	In my house I was getting dropped coverage upstairs and no coverage in my basement.
139	Voice recognition is tremendous!
140	What a waste.
141	During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.
142	I was not happy with this item.
143	very disappointed.
144	The phone takes FOREVER to charge like 2 to 5 hours literally.
145	I got this phone on reccomendation from a relative and I'm glad I did.
146	What a waste of time!
147	Its reception is very very poor.
148	Items stated as included from the description ARE NOT INCLUDED.
149	After 3 months, screen just went black all of a sudden.
150	I Was Hoping for More.
151	Audio Quality is poor, very poor.
152	I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!
153	I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.
154	I've bought $5 wired headphones that sound better than these.
155	This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.
156	Nice quality build, unlike some cheap s*** out there.
157	This item is fantastic and works perfectly!
158	And I just love the colors!
159	W810i is just SUPERB.
160	All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.
161	Great charger.
162	This is essentially a communications tool that does not communicate.
163	Works like a charm; it work the same as the one I got with the phone.
164	I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.
165	Great Value.
166	Doesn't work at all.. I bougth it for my L7c and its not working.
167	The look of it is very sharp and the screen is nice and clear, with great graphics.
168	doesn't last long.
169	One thing I hate is the mode set button at the side.
170	EXCELLENT SERVICE!!!!!!!!.
171	Thank you for wasting my money.
172	How can that be?The audio quality is poor.
173	The iGo chargers and tips are really great.
174	The file browser offers all the options that one needs.Handsfree is great.
175	Superb Phone on a Great Network.
176	I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.
177	I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.
178	It only recognizes the Phone as its storage device.
179	If you like a loud buzzing to override all your conversations, then this phone is for you!
180	Don't buy this product.
181	I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.
182	The sound quality is good and functionality is awesome.
183	I have this phone and it is a thorn in my side, I really abhor it.
184	I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.
185	Incredible!.
186	Design Flaw?.
187	Great phone!.
188	Waste of 13 bucks.
189	But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.
190	The replacement died in a few weeks.
191	Any ring tone..Overall good phone to buy..
192	Lately they have been extremely nice and helpful on the phone.
193	I have had problems wit hit dropping signal and more.
194	Not impressed.
195	Light weight, I hardly notice it is there.
196	You'll love how thin it is.
197	Bad Choice.
198	The pleather case doesn't fit.
199	useless phone, simply deaf.
200	The color is even prettier than I thought it would be, and the graphics are incredibly sharp.
201	All in all I think it was a good investment.
202	It makes very strange ticking noises before it ends the call.
203	The best electronics of the available FM Transmitters.
204	Battery lasts only a few hours.
205	great headset, very impressed - H500.
206	"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7."
207	I've had this for nearly 2 years and it has worked great for me.
208	Good transmit audio.
209	We are sending it back.
210	I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.
211	If you hate earbugs, avoid this phone by all means.
212	Great price also!
213	The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.
214	fast service.
215	I would highly recommend this.
216	I would recommend this.
217	"I also didn't like the ""on"" button, it felt like it would crack with use."
218	WORST PHONE EVER.
219	I'm still infatuated with this phone.
220	Freezes frequently4.
221	It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.
222	Simple, lightweight and great fit.
223	All in all, I'd expected a better consumer experience from Motorola.
224	There's a horrible tick sound in the background on all my calls that I have never experienced before.
225	These are certainly very comfortable and functionality is decent.
226	I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.
227	I'm a bit disappointed.
228	I have had this phone for over a year now, and I will tell you, its not that great.
229	I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).
230	The battery is completely useless to me.
231	What a big waste of time.
232	Don't waste your $$$ on this one.
233	Great sound and service.
234	Really pleased with this product so far.
235	One of my favorite purchases ever.
236	best bluetooth on the market.
237	Authentic leather with nice shine and comfort .I recommend you this case !!
238	I was very excited to get this headset because I thought it was really cute.
239	Do not make the same mistake as me.
240	Big Disappointment with calendar sync.
241	the phone was unusable and was not new.
242	Worst Customer Service Ever.
243	No additional ear gels provided, and no instructions whatsoever.
244	It defeats the purpose of a bluetooth headset.
245	Worth every penny.
246	Excellent wallet type phone case.
247	Nice headphones for the price and they work great!
248	Internet is excrutiatingly slow.
249	It is very comfortable to wear as well, which is probably the most important aspect about using a case.
250	It's fits like a glove and is strong, secure, and durable.
251	O my gosh the best phone I have ever had.
252	It's very attractive and appears to be of good quality.
253	I love all the features and form factor.
254	This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it
255	poor quality and service.
256	The cable looks so thin and flimsy, it is scary.
257	Great Earpiece.
258	Excellent hands free tool.
259	Great for using with your home stereo.
260	Good product - incredible value.
261	Only had this a month but it's worked flawlessly so far.
262	Works great.
263	Absolutel junk.
264	THAT one didn't work either.
265	Battery life is real good.
266	Returned 8 hours later.
267	It's a great item.
268	Don't waste your money!.
269	Love this headset!
270	Not only will it drain your player, but may also potentially fry it.
271	Worked perfectly!
272	Unreliable - I'm giving up.
273	I gave it 5 stars because of the sound quality.
274	Avoid this one if you can.
275	Reversible plug works great.
276	I wasted my little money with this earpiece.
277	Very good phone.
278	Best of all is the rotating feature, very helpful.
279	Comfort for our whole family.
280	Good product, good seller.
281	I love this bluetooth!
282	First of all, it doesn't wear well.
283	I am very impressed with this headset from Plantronics.
284	I got it because it was so small and adorable.
285	Great phone!.
286	I wouldn't recommend buying this product.
287	Piece of Junk.
288	Poorly contstruct hinge.
289	This item is great, installed it, let it charged up overnite and it has been working good every since with no problems
290	Great Phone.
291	Don't buy it.
292	Excellent Phone.
293	DO NOT PURCHASE THIS PHONE.
294	The voice recognition thru the handset is excellent.
295	This is hands down the best phone I've ever had.
296	Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.
297	This one works and was priced right.
298	Customer service was terrible.
299	Battery life still not long enough in Motorola Razor V3i.
300	Sending it back.
301	Now I know that I made a wise decision.
302	Someone shouldve invented this sooner.
303	Good price.
304	Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.
305	I received it quickly and it works great!!
306	Has been working great.
307	As many people complained, I found this headset's microphone was very weak.
308	My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.
309	They do not care about the consumer one bit.
310	This is a good battery, and it got here really fast.
311	The instruction manual is lacking.
312	Also its slim enough to fit into my alarm clock docking station without removing the case.
313	Phone now holds charge like it did when it was new.
314	The battery is unreliable as well as the service use antena.
315	It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).
316	We have gotten a lot of compliments on it.
317	This is definitely a must have if your state does not allow cell phone usage while driving.
318	I want my money back.
319	I love this device.
320	I am also very happy with the price.
321	I ordered this product first and was unhappy with it immediately.
322	The Ngage is still lacking in earbuds.
323	I was able to do voice dialing in the car with no problem.
324	I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.
325	good item, low price.
326	However-the riingtones are not the best, and neither are the games.
327	The plug did not work very well.
328	AMAZON SUCKS.
329	Rip off---- Over charge shipping.
330	VERY comfortable.
331	The battery is working well as a replacement for the original that came with the phone over 2 years ago.
332	The reception is excellent!
333	It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.
334	very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.
335	1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.
336	Obviously there is a problem with the adhesive.
337	Very disappointing.
338	It was an inexpensive piece, but I would still have expected better quality.
339	It is practically useless and did not add any kind of boost to my reception after I bought it.
340	Excellent sound quality.
341	Was not happy.
342	A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!
343	New Battery works great in phone.
344	Worst customer service.
345	I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).
346	Reception is terrible and full of static.
347	Good audio quality.
348	This little device has transformed my organizational capability and made my life a whole lot easier.
349	I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.
350	Were JERKS on the phone.
351	Works like a charm.. Works as advertised.
352	Comfortable, Nice Range, Good Battery Life.
353	Their network coverage in Los Angeles is horrible.
354	Excellent starter wireless headset.
355	The loudspeaker option is great, the bumpers with the lights is very ... appealing.
356	The only thing that I think could improve is the sound leaks out from the headset.
357	First off the reception sucks, I have never had more than 2 bars, ever.
358	The phone gets EXTREMELY HOT!
359	The microphone also works well, but (according to people I have called) it applifies everything.
360	Nice design and quality.
361	Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.
362	It is light, easy to use, and has very clear reception and transmission.
363	bad fit, way too big.
364	It definitely was not as good as my S11.
365	awesome device.
366	Waste of money.
367	I had ordered a motorola data cable, got a very well finished and working product.
368	Love This Phone.
369	I was looking for this headset for a long time and now that I've got it I couldn't be happier.
370	I'll be drivng along, and my headset starts ringing for no reason.
371	Display is excellent and camera is as good as any from that year.
372	Battery life is also great!
373	The worst phone I've ever had.... Only had it for a few months.
374	Not a good item.. It worked for a while then started having problems in my auto reverse tape player.
375	This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.
376	Protects the phone on all sides.
377	This is a VERY average phone with bad battery life that operates on a weak network.
378	Clear Skype Calls, Long Battery Life, Long Range.
379	Soyo technology sucks.
380	Great Hands Free Device.
381	you can even take self portraits with the outside (exterior) display, very cool.
382	Same problem as others have mentioned.
383	After trying many many handsfree gadgets this is the one that finally works well.
384	Magical Help.
385	The worst piece of crap ever along with the Verizon customer service.
386	Poor sound quality.
387	The best phone in market :).
388	It worked very well.
389	The company shipped my product very promptly and it works well.
390	Exactly what I wanted.
391	The picture resolution is far below what other comparably-priced phones are offering today.
392	This is a great deal.
393	Excellent product, I am very satisfied with the purchase.
394	I highly recommend these and encourage people to give them a try.
395	Better than you'd expect.
396	Using all earpieces, left or right, this thing will not stay on my ear.
397	Great product and price.
398	Sounds good reasonably priced and effective, Its that simple !
399	Still Waiting...... I'm sure this item would work well.. if I ever recieve it!
400	what a disappointment
401	Very prompt service.
402	Excellent product for the price.
403	Very pleased with this headset.
404	don't waste your money and time.
405	I especially love the long battery life.
406	It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.
407	Works great.
408	Plantronics Bluetooth Excelent Buy.
409	I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.
410	I'll be looking for a new earpiece.
411	I highly recommend this device to everyone!
412	Jawbone Era is awesome too!
413	We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement
414	After a year the battery went completely dead on my headset.
415	I have used several phone in two years, but this one is the best.
416	An Awesome New Look For Fall 2000!.
417	This is the first phone I've had that has been so cheaply made.
418	Att is not clear, sound is very distorted and you have to yell when you talk.
419	The plastic breaks really easy on this clip.
420	Price is good too.
421	Don't make the same mistake I did.
422	Oh and I forgot to also mention the weird color effect it has on your phone.
423	I'm using it with an iriver SPINN (with case) and it fits fine.
424	Also the area where my unit broke).- I'm not too fond of the magnetic strap.
425	Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.
426	every thing on phone work perfectly, she like it.
427	Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.
428	IT'S REALLY EASY.
429	My Sanyo has survived dozens of drops on blacktop without ill effect.
430	Fantastic earphones.
431	It finds my cell phone right away when I enter the car.
432	Low Quality.
433	I highly recommend this modest priced cellular phone.
434	But it does get better reception and clarity than any phone I've had before.
435	Warning - Stay away.
436	I wish I could return the unit and get back my money.
437	Awsome Device Works Great!!.
438	I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.
439	If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.
440	Very Displeased.
441	I might have gotten a defect, but I would not risk buying it again because of the built quality alone.
442	They made this case too small and is very difficult to install.
443	Restored my phone to like new performance.
444	I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.
445	I searched the Internet, and found this one to be the best value.
446	Does not fit.
447	Very happy with this product.
448	The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.
449	There's really nothing bad I can say about this headset.
450	i'm glad i found this product on amazon it is hard to find, it wasn't high priced.
451	Portable and it works.
452	My colleague & I now get great reception.A little expensive, but performance is great.
453	I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.
454	I've also had problems with the phone reading the memory card in which I always turn it on and then off again.
455	Not good when wearing a hat or sunglasses.
456	Timely shipment and quality product.
457	Nice solid keyboard.
458	Very well made and fits my Surefire GX2 perfectly.
459	Horrible phone.
460	BT50 battery junk!.
461	We would recommend these to others.
462	Cant get the software to work with my computer.
463	Disappointed!.
464	poor voice clarity.
465	The battery works great!
466	No buyers remorse on this one!.
467	Very disappointed in AccessoryOne.
468	I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.
469	"Looks great and is strong."""
470	I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.
471	The update procedure is difficult and cumbersome.
472	Disappointment.. I hate anything that goes in my ear.
473	Great software for Motorolas.
474	The delivery was on time.
475	Very easy to use.
476	Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).
477	The volume switch rocketed out of the unit to a destination unknown.
478	It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.
479	I'd like to return it.
480	The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.
481	Verizon's bills, however, are difficult to understand even though their pricing plans are simple.
482	After charging overnight, these batteries work great.
483	You won't regret it!
484	I love this phone!.
485	A Disappointment.
486	Its not user friendly.
487	Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.
488	Then I exchanged for the same phone, even that had the same problem.
489	This results in the phone being either stuck at max volume or mute.
490	This PDA rocks.
491	It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.
492	I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!
493	I had Verizon 2 years ago and really liked their service.
494	Pretty piece of junk.
495	Plug was the wrong size.
496	Works as described.
497	Save your money.... I've had this item for 11 months now.
498	Bad Purchase.
499	WELL IM SATISFIED.
500	The bose noise cancelling is amazing, which is very important for a NYC commuter.
501	This battery is an excellent bargain!
502	Defective crap.
503	I would have given no star if I was able.
504	I wear glasses and it fits fine with them.
505	The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.
506	I would not recommend this item to anyone.
507	The holster that arrived did not match the photo in the ad.
508	great...no problems at all!.
509	As an earlier review noted, plug in this charger and nothing happens.
510	This frog phone charm is adorable and very eye catching.
511	You never know if you pushed it hard enough or the right number of times for the function you want or not.
512	The sound is clear and the people I talk to on it are amazed at the quality too.
513	I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.
514	very good product, well made.
515	Mobile Phone Tools are a must have.
516	I am very impressed with the job that Motorola did on the sturdiness of this phone.
517	I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.
518	The phone is sturdy and waterproof.
519	I am not impressed with this and i would not recommend this item to anyone.
520	My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)
521	Thanks again to Amazon for having the things I need for a good price!
522	I ended up sliding it on the edge of my pants or back pockets instead.
523	I had to go to a store and bought a new NOKIA phone which is working great.
524	Works great!.
525	REALLY UGLY.
526	horrible, had to switch 3 times.
527	The noise shield is incrediable.
528	No real improvement.
529	Razr Battery - Good buy.
530	Keep up the good work Amazon!!
531	They refuse to refund or replace.
532	Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.
533	So I basically threw my money out the window for nothing.
534	Great case and price!
535	All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.
536	Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.
537	Small, sleek, impressive looking, practical setup with ample storage in place.
538	The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.
539	none of the new ones have ever quite worked properly.
540	I am glad I purchased it.
541	I've missed numerous calls because of this reason.
542	Perhaps my phone is defective, but people cannot hear me when I use this.
543	Don't buy this product.
544	sucked, most of the stuff does not work with my phone.
545	No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.
546	Worst software ever used.... If I could give this zero stars I would.
547	Trying to make a call on these is an exercise in frustration.
548	The case is a flimsy piece of plastic and has no front or side protection whatsoever.
549	I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.
550	I love the camera, it's really pretty good quality.
551	Thank you for such great service.
552	Its a total package.
553	The seller is very understanding and patient, I would definitely buy from them again.
554	I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.
555	It's AGGRAVATING!
556	Great product for the price!.
557	I have purchased these for both family and friends, and all enjoy their clarity and ease of use
558	Virgin Wireless rocks and so does this cheap little phone!
559	None of it works, just don't buy it.
560	Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.
561	Please dont waste your money.
562	All in all, I'm quite satisfied with this purchase.
563	If you are looking for a good quality Motorola Headset keep looking, this isn't it.
564	Yet Plantronincs continues to use the same flawed charger design.
565	Disapointing Results.
566	Cumbersome design.
567	Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!
568	Great Product.
569	It's A PIECE OF CRAP!
570	My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!
571	This fixes all the problems.
572	Worst ever.
573	I am very happy
574	I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.
575	"I can barely ever hear on it and am constantly saying ""what?"""
576	The battery life is highly unacceptable.
577	That company is a joke.
578	It does everything the description said it would.
579	Due to this happening on every call I was forced to stop using this headset.
580	It works great with a car charger, especially if you cannot plug in two adapters at the same time.
581	Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.
582	Voice Quality, Signal Strength, Dropped Calls.
583	It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.
584	Better than expected.
585	It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.
586	Battery is holding up well.
587	Also difficult to put on.I'd recommend avoiding this product.
588	I only used it two days, and it wasn't always easy to hear with.
589	I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.
590	Sprint - terrible customer service.
591	Linked to my phone without effort.
592	THey are so cool!
593	Easy to use.
594	Better Than New.
595	What possesed me to get this junk, I have no idea...
596	Piece of trash.
597	A pretty good product.
598	This is a great phone!.
599	For the price on Amazon, it is an excellent product, which I would highly recommend.
600	Their Research and Development division obviously knows what they're doing.
601	The real killer is the volume, and of course it breaking.
602	Those phones are working just fine now.
603	I am more than happy with this product.
604	Poor Construction.
605	This is infuriating.
606	Overall, I would recommend this phone over the new Walkman.
607	Sprint charges for this service.
608	It is cheap, and it feel and look just as cheap.
609	It fits my ear well and is comfortable on.
610	It doesn't work in Europe or Asia.
611	clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.
612	I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.
613	I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.
614	the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.
615	the charger worked for about a week and then completely stopped charging my phone.
616	Poor product.
617	However I needed some better instructions.
618	You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.
619	Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).
620	Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.
621	DO NOT BUY DO NOT BUYIT SUCKS
622	This is a great product..... sure beats using your fingers!.
623	Plus, I seriously do not believe it is worth its steep price point.
624	All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.
625	Very Dissapointing Performance.
626	Don't make the same mistake that I did and please don't buy this phone.
627	This phone might well be the worst I've ever had in any brand.
628	Case was more or less an extra that I originally put on but later discarded because it scratched my ear.
629	I recommend iGo to anyone with different brand cell phones/mp3 players in the family.
630	Don't bother - go to the store.
631	I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!
632	I did not have any problem with this item and would order it again if needed.
633	You get what you pay for I guess.
634	Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.
635	im surprised this is a good quality car charger and there's not much reviews about it.
636	These are fabulous!
637	However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.
638	I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.
639	Disappointing accessory from a good manufacturer.
640	Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.
641	Very wind-resistant.
642	Obviously they have a terrible customer service, so you get what you pay for.
643	They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.
644	I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.
645	Linksys should have some way to exchange a bad phone for a refurb unit or something!
646	Phone is sturdy as all nokia bar phones are.
647	Great phone.
648	When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.
649	I'm pleased.
650	Battery is terrible.
651	I found the product to be easy to set up and use.
652	The earpiece on this is too large or too heavy...it keeps falling out of my ear.
653	Utter crap.. Sound quality is TERRIBLE.
654	The charger arrived within the promised timeframe, but it did not work.
655	No ear loop needed, it's tiny and the sound is great.
656	Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.
657	The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.
658	Talk about USELESS customer service.
659	"It felt too light and ""tinny.""."
